committee,side,labor,side_orig,labor_orig,changed,change_detail,entity_type,level,jurisdiction,is_conduit,confidence,evidence,source_url,proposed_by,reviewed,n_gifts,dollars,sources
TIM SHEEHY FOR MONTANA,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Montana,FALSE,high,Tim Sheehy is the Republican who won Montana's U.S. Senate seat in 2024 and took office on January 3 2025.,https://ballotpedia.org/Tim_Sheehy,web-research-2026-08-08,yes,613,46392,fec
KEVIN MCCARTHY FOR CONGRESS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,United States,FALSE,high,Kevin McCarthy is the Republican former Speaker of the U.S. House who represented California's 20th district until December 2023,https://en.wikipedia.org/wiki/Kevin_McCarthy,web-research-2026-08-08,yes,986,45646,fec
SAM BROWN FOR NEVADA,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Nevada,FALSE,high,Sam Brown is the Republican who ran for U.S. Senate in Nevada in 2024 and lost to Democrat Jacky Rosen,https://ballotpedia.org/Sam_Brown_(Nevada),web-research-2026-08-08,yes,683,43716,fec
BLACKBURN TENNESSEE VICTORY FUND,REP,FALSE,,FALSE,yes,side:blank->REP,joint_fundraising,federal,Tennessee,FALSE,high,Marsha Blackburn is the Republican United States senator from Tennessee and this is the victory fund joint fundraising vehicle carrying her name,https://en.wikipedia.org/wiki/Marsha_Blackburn,web-research-2026-08-08,yes,1969,43354,fec
BOILERMAKERS LOCAL 5 PAC,,TRUE,,TRUE,no,,union_pac,state,New York State,FALSE,medium,Boilermakers Local 5 is a building-trades union local whose only documented recent congressional endorsement went to Republican Rep. Mike Lawler so its giving is not reliably Democratic.,https://ballotpedia.org/Endorsements_by_Boilermakers_Local_5,web-research-2026-08-08,yes,799,42265,nyboe
CONSOLIDATED EDISON INC EMPLOYEES POLITICAL ACTION COMMITTEE,,FALSE,,FALSE,no,,corporate_pac,state,New York State,FALSE,high,The name identifies it as the employee-funded corporate PAC of the investor-owned utility Consolidated Edison Inc rather than a union or party committee,,web-research-2026-08-08,yes,445,41751,nyboe
FRIENDS OF KEN ROTHWELL,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,town,"Town of Riverhead, NY",FALSE,high,Kenneth Rothwell is a Riverhead town councilman who was nominated by the Riverhead Republican Committee for town supervisor,https://riverheadlocal.com/2026/02/05/republicans-tap-rothwell-for-supervisor/,web-research-2026-08-08,yes,459,40241,nyboe
KARI LAKE FOR SENATE,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Arizona,FALSE,high,Kari Lake is the Republican who ran for U.S. Senate in Arizona in 2024 and lost to the Democratic winner,https://ballotpedia.org/Kari_Lake,web-research-2026-08-08,yes,705,40025,fec
EAST PLAINVIEW-OLD BETHPAGE REPUBLICAN COMMITTEE,REP,FALSE,REP,FALSE,no,,party_committee,town,"Town of Oyster Bay, NY",FALSE,high,The committee name states it is the Republican committee for the Plainview and Old Bethpage hamlets which sit in the Town of Oyster Bay in Nassau County,,web-research-2026-08-08,yes,452,37309,nyboe
END CITIZENS UNITED,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,End Citizens United is a campaign finance reform PAC that exclusively endorses and funds Democratic candidates such as Elizabeth Warren and Jon Ossoff,https://en.wikipedia.org/wiki/End_Citizens_United,web-research-2026-08-08,yes,863,36432,fec
COMMUNICATIONS WORKERS OF AMERICA - COPE POLITICAL CONTRIBUTIONS COMMITTEE,DEM,TRUE,,TRUE,yes,side:blank->DEM,union_pac,federal,United States,FALSE,high,CWA-COPE is the separate segregated fund of the Communications Workers of America labor union and its federal giving goes overwhelmingly to Democrats,https://www.fec.gov/data/committee/C00040980/,web-research-2026-08-08,yes,3738,33192,fec
MIKE JOHNSON FOR LOUISIANA,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,United States,FALSE,high,Mike Johnson is the Republican Speaker of the U.S. House representing Louisiana's 4th congressional district,https://en.wikipedia.org/wiki/Mike_Johnson,web-research-2026-08-08,yes,892,33160,fec
TIM SCOTT FOR AMERICA,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,United States,FALSE,high,Tim Scott is the Republican U.S. Senator from South Carolina who ran for the 2024 Republican presidential nomination.,https://en.wikipedia.org/wiki/Tim_Scott,web-research-2026-08-08,yes,659,32207,fec
CONGRESSIONAL BLACK CAUCUS PAC,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,CBC PAC backs Democratic members of Congress such as Michael Capuano and Eliot Engel and nearly all Congressional Black Caucus members are Democrats,https://en.wikipedia.org/wiki/Congressional_Black_Caucus,web-research-2026-08-08,yes,541,31533,fec
CITIGROUP INC PAC-STATE,,FALSE,,FALSE,no,,corporate_pac,state,New York State,FALSE,medium,Citigroup Inc is a financial services corporation and PAC-State is its non-federal corporate PAC account registered for state level giving to both parties,,web-research-2026-08-08,yes,1839,30657,nyboe
HEARTLAND PATRIOTS,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,Democrat Lucas Kunce converted his 2024 Missouri U.S. Senate campaign committee into the Heartland Patriots hybrid PAC in December 2024.,https://www.kcur.org/politics-elections-and-government/2024-12-18/after-losing-u-s-senate-race-lucas-kunce-converts-campaign-fund-into-heartland-patriots-pac,web-research-2026-08-08,yes,663,30059,fec
NEW YORK STATE FARM ASSOCIATES POLITICAL ACTION COMMITTEE (NY SFA PAC),,FALSE,,FALSE,no,,trade_assoc_pac,state,New York State,FALSE,high,The PAC says it was formed by State Farm insurance agents and describes itself as a bipartisan PAC engaging legislators of all political affiliations,https://nysfapac.com/About-us.php,web-research-2026-08-08,yes,468,29875,nyboe
STOP THESE OPPRESSIVE PEOPLE: TYRANTS RACISTS UNQUALIFIEDS MISOGYNISTS PROPAGANDISTS (STOP TRUMP),DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,medium,The committee name is an acrostic spelling STOP TRUMP that brands Trump and his allies as tyrants racists and misogynists which is anti-Republican messaging,,web-research-2026-08-08,yes,565,29464,fec
ELI CRANE FOR CONGRESS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,United States,FALSE,high,Eli Crane is a Republican member of the U.S. House representing Arizona's 2nd Congressional District.,https://ballotpedia.org/Eli_Crane,web-research-2026-08-08,yes,1086,28620,fec
NASRCC POLITICAL EDUCATION COMMITTEE - NYS PAC,DEM,TRUE,,FALSE,yes,side:blank->DEM;labor:False->True,union_pac,state,New York State,FALSE,low,"NASRCC is the North Atlantic States Regional Council of Carpenters, a building trades labor union. Its 2022 New York endorsement slate was 75 Democrats to 33 Republicans (69%/31%), with the Republican endorsements concentrated in Long Island Assembly races.",https://www.nasrcc.org/endorseny2022/,web-research-2026-08-08,yes,1669,24294,nyboe
AMERIPAC: THE FUND FOR A GREATER AMERICA,DEM,FALSE,,FALSE,yes,side:blank->DEM,leadership_pac,federal,United States,FALSE,medium,AmeriPAC: The Fund for a Greater America is the long-running leadership PAC of House Democratic Leader Steny Hoyer (D-MD) which funds Democratic candidates,https://en.wikipedia.org/wiki/Steny_Hoyer,web-research-2026-08-08,yes,551,23901,fec
RUBIO VICTORY COMMITTEE,REP,FALSE,,FALSE,yes,side:blank->REP,joint_fundraising,federal,Florida,FALSE,high,FEC lists C00494617 as a joint fundraising committee whose participants are Marco Rubio for Senate and the NRSC and the Republican Party of Florida,https://www.fec.gov/data/committee/C00494617/,web-research-2026-08-08,yes,704,23282,fec
IBEW NEW YORK STATE PAC - INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,DEM,TRUE,,TRUE,yes,side:blank->DEM,union_pac,state,New York State,FALSE,high,The International Brotherhood of Electrical Workers is a labor union and its tracked candidate endorsements go to Democrats.,https://ballotpedia.org/Endorsements_by_The_International_Brotherhood_of_Electrical_Workers,web-research-2026-08-08,yes,789,22329,nyboe
ELECT DEMOCRATIC WOMEN,DEM,FALSE,DEM,FALSE,no,,ideological_pac,federal,United States,FALSE,high,Elect Democratic Women was founded in 2018 by seven Democratic congresswomen led by Rep. Lois Frankel to elect Democratic women to the US House,https://www.influencewatch.org/political-party/elect-democratic-women/,web-research-2026-08-08,yes,494,22150,fec
NDTC,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,NDTC is the FEC-registered National Democratic Training Committee (C00603084) which trains Democratic candidates at traindemocrats.org,https://www.fec.gov/data/committee/C00603084/,web-research-2026-08-08,yes,592,22125,fec
"WARREN FOR SENATE, INC.",DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,Massachusetts,FALSE,high,Elizabeth Warren's official campaign website carries the disclaimer Paid for by Warren for Senate and she is the Democratic US Senator from Massachusetts,https://elizabethwarren.com/,web-research-2026-08-08,yes,457,21204,fec
NANCY PELOSI FOR CONGRESS,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,California,FALSE,high,Nancy Pelosi is a Democrat representing a San Francisco district and served as Democratic Speaker of the House,https://en.wikipedia.org/wiki/Nancy_Pelosi,web-research-2026-08-08,yes,739,20728,fec
ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,New York,FALSE,high,Alexandria Ocasio-Cortez is a Democrat representing New York's 14th congressional district since 2019,https://en.wikipedia.org/wiki/Alexandria_Ocasio-Cortez,web-research-2026-08-08,yes,743,20485,fec
USWU IUJAT - POLITICAL ACTION COMMITTEE,,TRUE,,FALSE,yes,labor:False->True,union_pac,state,New York State,FALSE,medium,USWU is the United Service Workers Union an IUJAT-affiliated labor union whose COPE fund states it is proudly bi-partisan with strong working relationships with both Republican and Democratic state and local politicians,https://www.iujat.org/uswu/political-action,web-research-2026-08-08,yes,917,20097,nyboe
CYNTHIA FOR NEW YORK,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,state,New York State,FALSE,high,Cynthia Nixon ran in the 2018 Democratic primary for Governor of New York against Andrew Cuomo and was also the Working Families Party nominee,https://en.wikipedia.org/wiki/Cynthia_Nixon,web-research-2026-08-08,yes,536,19866,nyboe
VAN ORDEN FOR CONGRESS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,United States,FALSE,high,Derrick Van Orden is a Republican who has represented Wisconsin's 3rd Congressional District since 2023.,https://en.wikipedia.org/wiki/Derrick_Van_Orden,web-research-2026-08-08,yes,1030,19671,fec
LET AMERICA VOTE PAC,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,Let America Vote was founded in 2017 by Democrat Jason Kander to fight voter suppression and merged with the Democratic-aligned End Citizens United in 2020,https://en.wikipedia.org/wiki/Let_America_Vote,web-research-2026-08-08,yes,535,19523,fec
YOUNG KIM FOR CONGRESS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,California,FALSE,high,Young Kim is a Republican U.S. Representative for California's 40th congressional district,https://en.wikipedia.org/wiki/Young_Kim,web-research-2026-08-08,yes,720,19291,fec
MAYRA FLORES FOR CONGRESS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Texas,FALSE,high,Mayra Flores is a Republican who won the 2022 special election in Texas's 34th congressional district and has run there since,https://en.wikipedia.org/wiki/Mayra_Flores,web-research-2026-08-08,yes,448,19224,fec
NEW YORK STATE RIFLE AND PISTOL ASSOC POLITICAL VICTORY FUND NYSRPA-PVF,REP,FALSE,,FALSE,yes,side:blank->REP,ideological_pac,state,New York State,FALSE,high,NYSRPA is the official NRA-affiliated New York state association and its Political Victory Fund backs Second Amendment candidates who in New York are almost entirely Republican or Conservative,https://www.nysrpa.org/,web-research-2026-08-08,yes,518,18109,nyboe
CHC BOLD PAC,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,high,CHC BOLD PAC is the fundraising arm of the Congressional Hispanic Caucus and describes itself as a Democratic PAC backing Hispanic Democratic candidates,https://ballotpedia.org/CHC_Bold_PAC,web-research-2026-08-08,yes,698,18107,fec
VERIZON COMMUNICATIONS INC. GOOD GOVERNMENT CLUB - NEW YORK,,FALSE,,FALSE,no,,corporate_pac,state,New York State,FALSE,high,This is the New York State employee PAC of Verizon Communications and telecom corporate PACs fund incumbents in both parties,,web-research-2026-08-08,yes,1412,17765,nyboe
ZINKE FOR CONGRESS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Montana,FALSE,high,Ryan Zinke is the Republican U.S. Representative for Montana's 1st congressional district.,https://ballotpedia.org/Ryan_Zinke,web-research-2026-08-08,yes,839,17646,fec
TEAM EMMER,REP,FALSE,,FALSE,yes,side:blank->REP,joint_fundraising,federal,United States,FALSE,high,FEC committee C00836403 TEAM EMMER is a joint fundraising committee for Republican Rep. Tom Emmer of Minnesota whose participants include his leadership PAC Electing Majority Making Effective Republicans,https://www.fec.gov/data/committee/C00836403/,web-research-2026-08-08,yes,902,15851,fec
TEXANS FOR RONNY JACKSON,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Texas,FALSE,high,Ronny Jackson is the Republican US Representative for Texas's 13th congressional district serving since 2021,https://en.wikipedia.org/wiki/Ronny_Jackson,web-research-2026-08-08,yes,485,15364,fec
"RON JOHNSON FOR SENATE, INC.",REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Wisconsin,FALSE,high,Ron Johnson is the Republican United States Senator from Wisconsin holding the seat since 2011,https://en.wikipedia.org/wiki/Ron_Johnson_(Wisconsin_politician),web-research-2026-08-08,yes,484,14591,fec
JAKE ELLZEY FOR CONGRESS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Texas,FALSE,high,Jake Ellzey is the Republican U.S. Representative for Texas's 6th congressional district since 2021.,https://en.wikipedia.org/wiki/Jake_Ellzey,web-research-2026-08-08,yes,776,14333,fec
VPP,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,medium,VPP is the Voter Protection Project a political action committee founded by Democrat Andrew Janz that directs all of its expenditures to Democratic candidates,https://www.influencewatch.org/political-party/voter-protection-project/,web-research-2026-08-08,yes,492,14164,fec
ROGERS FOR SENATE,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Michigan,FALSE,high,FEC committee ROGERS FOR SENATE (C00849810) is the campaign of Republican Michael J Rogers running for US Senate in Michigan,https://www.fec.gov/data/committee/C00849810/,web-research-2026-08-08,yes,567,13849,fec
NATIONWIDE NEW YORK POLITICAL PARTICIPATION COMMITTEE,,FALSE,,FALSE,no,,corporate_pac,state,New York State,FALSE,medium,Nationwide Mutual Insurance Company sponsors state 'Political Participation Committee' PACs that give to both Democratic and Republican officeholders.,https://www.transparencyusa.org/oh/committee/nationwide-mutual-insurance-company-political-participation-committee-1138-pac,web-research-2026-08-08,yes,664,13161,nyboe
MONICA FOR CONGRESS,REP,FALSE,,FALSE,yes,side:blank->REP,candidate,federal,Texas's 15th Congressional District,FALSE,high,FEC lists MONICA FOR CONGRESS (C00765719) as the principal campaign committee of Republican Monica De La Cruz of Texas district 15,https://www.fec.gov/data/committee/C00765719/,web-research-2026-08-08,yes,601,12233,fec
BANK OF AMERICA NEW YORK POLITICAL ACTION COMMITTEE,,FALSE,,FALSE,no,,corporate_pac,state,New York State,FALSE,high,The name identifies this as the New York state corporate PAC of Bank of America Corporation which is an employer PAC rather than a labor or party committee and gives to both parties,,web-research-2026-08-08,yes,980,12077,nyboe
FRIENDS OF BERNIE SANDERS,DEM,FALSE,,FALSE,yes,side:blank->DEM,candidate,federal,Vermont,FALSE,high,Bernie Sanders runs for Senate as an independent but caucuses with Senate Democrats and sought the Democratic presidential nomination in 2016 and 2020,https://en.wikipedia.org/wiki/Bernie_Sanders,web-research-2026-08-08,yes,675,11859,fec
JPMORGAN CHASE AND CO. PAC,,FALSE,,FALSE,no,,corporate_pac,state,New York State,FALSE,high,The name identifies it as the employee-funded corporate PAC of the bank JPMorgan Chase & Co. which gives to incumbents of both parties,,web-research-2026-08-08,yes,673,11459,nyboe
RETIRED AMERICANS PAC,DEM,FALSE,,FALSE,yes,side:blank->DEM,ideological_pac,federal,United States,FALSE,medium,"Retired Americans PAC is the PAC of the Alliance for Retired Americans, a 501(c)(4) retiree advocacy organization founded by the AFL-CIO in 2001. It supports Democratic candidates. It is AFL-CIO-affiliated but is not itself a labor union and its PAC is not a union separate segregated fund, so it does not meet this project's labor-union definition.",https://retiredamericanspac.org/,web-research-2026-08-08,yes,459,10294,fec
CHAMPION AMERICAN VALUES,REP,FALSE,,FALSE,yes,side:blank->REP,ideological_pac,federal,United States,FALSE,high,Champion American Values PAC is Republican former Secretary of State Mike Pompeo's hybrid PAC registered with the FEC as C00770214,https://cavpac.com/about/,web-research-2026-08-08,yes,692,10230,fec
GEICO NEW YORK PAC,,FALSE,,FALSE,no,,corporate_pac,state,New York State,FALSE,high,GEICO is a private auto insurance corporation so this is its New York registered corporate PAC with no established single party lean,,web-research-2026-08-08,yes,1872,7072,nyboe
HSBC TECHNOLOGY AND SERVICES USA INC. FEDERAL STATE AND LOCAL PAC,,FALSE,,FALSE,no,,corporate_pac,multi,United States,FALSE,high,The name identifies it as the employee-funded corporate PAC of the HSBC bank subsidiary HSBC Technology and Services USA Inc covering federal state and local giving,,web-research-2026-08-08,yes,448,6741,nyboe
